[표 1]
형번	외경 호칭 범위	외경 호칭 (φ)	색	최소 주문 수량	표준 가격 (VAT 별도) 정렬	출하일 정렬
ZUS-1S-B	1.0S~2.0S	1S	블루	1개	12,820원	7 일째~
ZUS-1S-FG	1.0S~2.0S	1S	그린	1개	12,820원	7 일째~
ZUS-1S-I	1.0S~2.0S	1S	아이보리	1개	12,820원	7 일째~
ZUS-1S-R	1.0S~2.0S	1S	레드	1개	12,820원	7 일째~
ZUS-1.5S-B	1.0S~2.0S	1.5S	블루	1개	20,130원	7 일째~
ZUS-1.5S-FG	1.0S~2.0S	1.5S	그린	1개	20,130원	7 일째~
ZUS-1.5S-I	1.0S~2.0S	1.5S	아이보리	1개	20,130원	7 일째~
ZUS-1.5S-R	1.0S~2.0S	1.5S	레드	1개	20,130원	7 일째~
ZUS-2S-B	1.0S~2.0S	2S	블루	1개	17,890원	7 일째~
ZUS-2S-FG	1.0S~2.0S	2S	그린	1개	17,890원	7 일째~
ZUS-2S-I	1.0S~2.0S	2S	아이보리	1개	17,890원	7 일째~
ZUS-2S-R	1.0S~2.0S	2S	레드	1개	17,890원	7 일째~
ZUS-2.5S-B	2.5S~4.5S	2.5S	블루	1개	25,690원	7 일째~
ZUS-2.5S-FG	2.5S~4.5S	2.5S	그린	1개	25,690원	7 일째~
ZUS-2.5S-I	2.5S~4.5S	2.5S	아이보리	1개	25,690원	7 일째~
ZUS-2.5S-R	2.5S~4.5S	2.5S	레드	1개	25,690원	7 일째~
ZUS-3S-B	2.5S~4.5S	3S	블루	1개	24,030원	7 일째~
ZUS-3S-FG	2.5S~4.5S	3S	그린	1개	24,030원	7 일째~
ZUS-3S-I	2.5S~4.5S	3S	아이보리	1개	24,030원	7 일째~
ZUS-3S-R	2.5S~4.5S	3S	레드	1개	24,030원	7 일째~

[표 2]
	지금 보는 상품 제트 새니터리 개스킷 실리콘 패킹의 혁명! 울트라 실리콘 8(ZUS)	제트 새니터리 개스킷 페룰 개스킷 T형(ZGT)	제트 새니터리 개스킷 유니온 개스킷 L형(ZGL)	제트 새니터리 미니 개스킷 페룰 개스킷 미니형(ZMGT)	제트 새니터리 미니 페룰 (ZMFS)	제트 새니터리 용접 페룰 (ZFS)
브랜드	후지토크 (FUJITOKU)	후지토크 (FUJITOKU)	후지토크 (FUJITOKU)	후지토크 (FUJITOKU)	후지토크 (FUJITOKU)	후지토크 (FUJITOKU)
표준 가격	12,820원~	2,150원~	1,740원	11,120원	26,780원~	21,320원~
출하일	7 일째~	5 일째~	6 일째~	6 일째~	5 일째~	5 일째~
종류	가스켓	가스켓	-	-	-	-
개스킷 재질	실리콘	-	-	-	-	-

