[표 1]
PTFE 전위 페럴, 8MM 스웨즈락 튜브 피팅용 부품 번호: T-8M3-1
사양 속성 값 몸체 재질 PTFE 세정 공정 표준 세정 및 포장(SC-10) 연결구 1 크기 8mm 유량 제한기 아니오 eClass (4.1) 37060708 eClass (5.1.4) 37020590 eClass (6.0) 21022110 eClass (6.1) 37020590 eClass (10.1) 37020590 UNSPSC (4.03) 27121703 UNSPSC (10.0) 31181503 UNSPSC (11.0501) 31181503 UNSPSC (13.0601) 31401700 UNSPSC (15.1) 31401700 UNSPSC (17.1001) 31163102 CSV 내보내기 전위 페럴 전위 페럴은 정밀한 씰 및 튜브 그립을 제공하므로, 핵심 유체 시스템에서 누설 없는 밀폐 성능을 유지하는 데 이상적입니다. 로그인 또는 회원가입하여 가격 보기 연락처 이 제품에 대해 질문이 있으시면, 현지 공식 판매 및 서비스 센터로 연락하시기 바랍니다. 또한 귀하의 투자가 최상의 것을 이끌어낼 수 있도록 도와 드릴 수 있는 지원 서비스에 대해 귀하에게 설명드립니다. 문의 안전한 제품 선택 시스템 설계자와 사용자는 안전한 제품 선택을 위해 전체 카탈로그의 내용을 반드시 검토해야 합니다. 제품을 선택할 때, 안전하고 고장 없는 성능을 보장하기 위해서는 전체 시스템 설계를 고려해야 합니다. 제품의 기능, 재질의 호환성, 적절한 등급, 올바른 설비, 운영 및 유지보수는 시스템 설계자와 사용자의 책임입니다. 경고: 스웨즈락의 튜브 피팅 연결구를 포함하여 이러한 제품은 산업 설계 기준에 따라 제조되지 않으므로 스웨즈락의 제품 및 부품을 타 제조업체의 제품 및 부품과 혼합하거나 혼용하여 사용하지 마십시오. © 2026 Swagelok 사(社). 저작권 보유(All Rights Reserved.)	속성	값	몸체 재질	PTFE	세정 공정	표준 세정 및 포장(SC-10)	연결구 1 크기	8mm	유량 제한기	아니오	eClass (4.1)	37060708	eClass (5.1.4)	37020590	eClass (6.0)	21022110	eClass (6.1)	37020590	eClass (10.1)	37020590	UNSPSC (4.03)	27121703	UNSPSC (10.0)	31181503	UNSPSC (11.0501)	31181503	UNSPSC (13.0601)	31401700	UNSPSC (15.1)	31401700	UNSPSC (17.1001)	31163102
속성	값
몸체 재질	PTFE
세정 공정	표준 세정 및 포장(SC-10)
연결구 1 크기	8mm
유량 제한기	아니오
eClass (4.1)	37060708
eClass (5.1.4)	37020590
eClass (6.0)	21022110
eClass (6.1)	37020590
eClass (10.1)	37020590
UNSPSC (4.03)	27121703
UNSPSC (10.0)	31181503
UNSPSC (11.0501)	31181503
UNSPSC (13.0601)	31401700
UNSPSC (15.1)	31401700
UNSPSC (17.1001)	31163102

[표 2]
속성	값
몸체 재질	PTFE
세정 공정	표준 세정 및 포장(SC-10)
연결구 1 크기	8mm
유량 제한기	아니오
eClass (4.1)	37060708
eClass (5.1.4)	37020590
eClass (6.0)	21022110
eClass (6.1)	37020590
eClass (10.1)	37020590
UNSPSC (4.03)	27121703
UNSPSC (10.0)	31181503
UNSPSC (11.0501)	31181503
UNSPSC (13.0601)	31401700
UNSPSC (15.1)	31401700
UNSPSC (17.1001)	31163102

[표 3]
속성	값
몸체 재질	PTFE
세정 공정	표준 세정 및 포장(SC-10)
연결구 1 크기	8mm
유량 제한기	아니오
eClass (4.1)	37060708
eClass (5.1.4)	37020590
eClass (6.0)	21022110
eClass (6.1)	37020590
eClass (10.1)	37020590
UNSPSC (4.03)	27121703
UNSPSC (10.0)	31181503
UNSPSC (11.0501)	31181503
UNSPSC (13.0601)	31401700
UNSPSC (15.1)	31401700
UNSPSC (17.1001)	31163102

[표 4]
부품 번호(Part #)	몸체 재질	연결구 1 크기	연결구 1 종류	연결구 2 크기	연결구 2 종류	
2507-1213-1	슈퍼 듀플렉스 스테인리스강	3/4인치	-	-	-	제품 보기
2507-403-1	슈퍼 듀플렉스 스테인리스강	1/4인치	-	-	-	제품 보기
2507-603-1	슈퍼듀플렉스 스테인리스강	3/8인치	-	-	-	제품 보기
2507-813-1	슈퍼듀플렉스 스테인리스강	1/2인치	-	-	-	제품 보기
6MO-813-1	6-Moly	1/2인치	-	-	-	제품 보기
825-403-1	합금 825	1/4인치	-	-	-	제품 보기
B-203-1	황동	1/8인치	-	-	-	제품 보기
B-403-1	황동	1/4인치	-	-	-	제품 보기
B-603-1	황동	3/8인치	-	-	-	제품 보기
HC-203-1	합금 C-276	1/8인치	-	-	-	제품 보기
HC-403-1	합금 C-276	1/4인치	-	-	-	제품 보기
HC-603-1	합금 C-276	3/8인치	-	-	-	제품 보기
HC-813-1	합금 C-276	1/2인치	-	-	-	제품 보기
INC-403-1	합금 600	1/4인치	-	-	-	제품 보기
M-603-1	합금 400/R-405	3/8인치	-	-	-	제품 보기
M-813-1	합금 400/R-405	1/2인치	-	-	-	제품 보기
NY-1213-1	나일론	3/4인치	-	-	-	제품 보기
NY-1613-1	나일론	1인치	-	-	-	제품 보기
NY-403-1	나일론	1/4인치	-	-	-	제품 보기
NY-603-1	나일론	3/8인치	-	-	-	제품 보기
NY-813-1	나일론	1/2인치	-	-	-	제품 보기
PFA-423-1	PFA	1/4인치	-	-	-	제품 보기
PFA-823-1	PFA	1/2인치	-	-	-	제품 보기
S-1213-1	탄소강	3/4인치	-	-	-	제품 보기
S-1613-1	탄소강	1인치	-	-	-	제품 보기
SS-1013-1	316 스테인리스강	5/8인치	-	-	-	제품 보기
SS-103-1	316 스테인리스강	1/16인치	-	-	-	제품 보기
SS-103-1-B1000	316 스테인리스강	1/16인치	-	-	-	제품 보기
SS-10M3-1	316 스테인리스강	10mm	-	-	-	제품 보기
SS-1213-1	316 스테인리스강	3/4인치	-	-	-	제품 보기
SS-12M3-1	316 스테인리스강	12mm	-	-	-	제품 보기
SS-1413-1	316 스테인리스강	7/8인치	-	-	-	제품 보기
SS-14M3-1	316 스테인리스강	14mm	-	-	-	제품 보기
SS-15M3-1	316 스테인리스강	15mm	-	-	-	제품 보기
SS-1613-1	316 스테인리스강	1인치	-	-	-	제품 보기
SS-16M3-1	316 스테인리스강	16mm	-	-	-	제품 보기
SS-18M3-1	316 스테인리스강	18mm	-	-	-	제품 보기
SS-2003-1	316 스테인리스강	1 1/4인치	-	-	-	제품 보기
SS-203-1	316 스테인리스강	1/8인치	-	-	-	제품 보기
SS-20M3-1	316 스테인리스강	20mm	-	-	-	제품 보기
SS-22M3-1	316 스테인리스강	22mm	-	-	-	제품 보기
SS-2403-1	316 스테인리스강	1 1/2인치	-	-	-	제품 보기
SS-25M3-1	316 스테인리스강	25mm	-	-	-	제품 보기
SS-28M3-1	316 스테인리스강	28mm	-	-	-	제품 보기
SS-2M3-1	316 스테인리스강	2mm	-	-	-	제품 보기
SS-303-1	316 스테인리스강	3/16인치	-	-	-	제품 보기
SS-3203-1	316 스테인리스강	2인치	-	-	-	제품 보기
SS-3M3-1	316 스테인리스강	3mm	-	-	-	제품 보기
SS-403-1	316 스테인리스강	1/4인치	-	-	-	제품 보기
SS-4M3-1	316 스테인리스강	4mm	-	-	-	제품 보기
SS-503-1	316 스테인리스강	5/16인치	-	-	-	제품 보기
SS-603-1	316 스테인리스강	3/8인치	-	-	-	제품 보기
SS-6M3-1	316 스테인리스강	6mm	-	-	-	제품 보기
SS-813-1	316 스테인리스강	1/2인치	-	-	-	제품 보기
SS-8M3-1	316 스테인리스강	8mm	-	-	-	제품 보기
